GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
library,com.azurian.library.controller,CategoryController,75,0,2,0,12,0,7,0,6,0
library,com.azurian.library.controller,ClientController,9,68,1,1,0,12,1,6,0,6
library,com.azurian.library.controller,BookController,9,68,1,1,0,12,1,6,0,6
library,com.azurian.library.controller,LoanController,14,65,1,1,1,11,2,5,1,5
library,com.azurian.library.controller,AuthorController,9,66,1,1,0,12,1,6,0,6
library,com.azurian.library,LibraryApplication,5,3,0,0,2,1,1,1,1,1
library,com.azurian.library.exception,GlobalExceptionHandler,29,101,0,0,3,32,1,7,1,7
library,com.azurian.library.exception,ResourceNotFoundException,4,6,0,0,2,2,1,1,1,1
library,com.azurian.library.exception,BusinessException,0,4,0,0,0,2,0,1,0,1
library,com.azurian.library.service.impl,CategoryServiceImpl,165,0,12,0,29,0,14,0,8,0
library,com.azurian.library.service.impl,ClientServiceImpl,13,146,4,8,2,27,3,11,0,8
library,com.azurian.library.service.impl,BookServiceImpl,21,209,9,13,4,40,8,13,0,10
library,com.azurian.library.service.impl,LoanServiceImpl,26,241,8,14,2,51,9,12,2,8
library,com.azurian.library.service.impl,AuthorServiceImpl,8,124,2,4,2,23,2,9,0,8
library,com.azurian.library.mapper,BookMapperImpl,136,0,10,0,37,0,10,0,5,0
library,com.azurian.library.mapper,AuthorMapperImpl,82,0,6,0,25,0,7,0,4,0
library,com.azurian.library.mapper,ClientMapperImpl,86,0,6,0,26,0,7,0,4,0
library,com.azurian.library.mapper,CategoryMapperImpl,61,0,6,0,20,0,7,0,4,0
library,com.azurian.library.mapper,LoanMapperImpl,47,0,2,0,12,0,3,0,2,0
library,com.azurian.library.domain,LoanStatus,0,21,0,0,0,4,0,1,0,1
library,com.azurian.library.config,LocalSecurityConfig,21,0,0,0,6,0,3,0,3,0
library,com.azurian.library.config,OpenApiConfig,52,0,0,0,15,0,2,0,2,0
library,com.azurian.library.config,SecurityConfig,161,0,4,0,31,0,13,0,11,0
